iter	Passed	Remaining
0	2	2446
1	4	2251
2	6	2213
3	8	2118
4	10	2061
5	12	2057
6	14	2021
7	16	2052
8	18	2082
9	20	2065
10	22	2062
11	24	2043
12	26	2028
13	28	2016
14	30	2015
15	33	2035
16	35	2045
17	37	2039
18	39	2036
19	41	2047
20	43	2046
21	46	2060
22	51	2169
23	56	2290
24	62	2419
25	64	2404
26	72	2611
27	78	2711
28	83	2807
29	91	2946
30	95	2994
31	103	3137
32	111	3265
33	117	3331
34	121	3356
35	127	3415
36	131	3416
37	135	3440
38	139	3428
39	143	3448
40	147	3453
41	152	3475
42	156	3479
43	159	3475
44	164	3487
45	169	3507
46	172	3502
47	175	3486
48	178	3459
49	181	3441
50	183	3416
51	187	3411
52	190	3396
53	192	3365
54	195	3359
55	198	3345
56	201	3326
57	204	3313
58	207	3302
59	209	3286
60	211	3262
61	214	3247
62	216	3226
63	219	3210
64	222	3194
65	224	3175
66	226	3159
67	228	3127
68	231	3117
69	234	3108
70	237	3111
71	240	3095
72	243	3087
73	245	3075
74	247	3055
75	249	3039
76	252	3026
77	255	3018
78	258	3014
79	260	3000
80	263	2986
81	265	2970
82	267	2955
83	270	2946
84	272	2934
85	275	2923
86	276	2901
87	279	2894
88	281	2884
89	284	2878
90	287	2873
91	290	2863
92	292	2856
93	295	2850
94	298	2846
95	301	2841
96	304	2832
97	306	2825
98	309	2817
99	312	2815
100	316	2817
101	318	2801
102	320	2787
103	322	2774
104	323	2761
105	326	2751
106	328	2744
107	332	2742
108	335	2739
109	337	2732
110	341	2735
111	344	2732
112	347	2729
113	351	2731
114	354	2725
115	356	2720
116	359	2711
117	362	2711
118	364	2700
119	369	2710
120	372	2708
121	377	2717
122	379	2703
123	381	2697
124	385	2697
125	389	2699
126	391	2691
127	392	2677
128	395	2669
129	398	2666
130	401	2661
131	404	2658
132	410	2675
133	415	2682
134	420	2696
135	423	2691
136	433	2728
137	439	2744
138	442	2743
139	447	2749
140	451	2753
141	457	2761
142	460	2761
143	463	2754
144	468	2765
145	472	2764
146	477	2772
147	490	2822
148	493	2817
149	498	2822
150	502	2825
151	505	2818
152	508	2817
153	516	2836
154	522	2846
155	528	2859
156	535	2875
157	538	2868
158	549	2904
159	556	2919
160	563	2937
161	567	2936
162	572	2938
163	580	2956
164	585	2961
165	590	2965
166	596	2976
167	599	2967
168	601	2959
169	604	2952
170	607	2944
171	609	2935
172	613	2932
173	620	2946
174	625	2947
175	629	2949
176	633	2946
177	636	2940
178	640	2937
179	645	2939
180	646	2923
181	648	2912
182	650	2904
183	653	2896
184	656	2890
185	658	2882
186	660	2873
187	663	2865
188	666	2861
189	669	2854
190	672	2848
191	677	2850
192	682	2855
193	689	2863
194	695	2872
195	704	2889
196	710	2895
197	716	2900
198	720	2902
199	725	2901
200	729	2900
201	732	2895
202	735	2886
203	737	2876
204	740	2870
205	742	2862
206	745	2855
207	747	2847
208	751	2843
209	754	2836
210	756	2828
211	758	2821
212	760	2811
213	764	2807
214	768	2804
215	771	2802
216	776	2800
217	778	2791
218	780	2782
219	782	2774
220	784	2765
221	792	2778
222	798	2781
223	804	2786
224	808	2784
225	814	2789
226	819	2791
227	822	2784
228	825	2780
229	830	2778
230	832	2770
231	834	2761
232	836	2753
233	838	2745
234	840	2736
235	843	2731
236	845	2722
237	847	2714
238	849	2706
239	851	2697
240	853	2688
241	855	2680
242	858	2673
243	860	2666
244	863	2661
245	866	2656
246	869	2650
247	873	2648
248	875	2640
249	878	2635
250	881	2629
251	883	2622
252	885	2615
253	888	2610
254	891	2604
255	894	2598
256	896	2592
257	899	2585
258	901	2578
259	903	2571
260	905	2563
261	907	2557
262	910	2551
263	912	2544
264	915	2538
265	918	2535
266	921	2530
267	923	2522
268	926	2517
269	928	2510
270	930	2504
271	932	2497
272	935	2490
273	936	2482
274	938	2475
275	940	2467
276	942	2460
277	945	2454
278	947	2447
279	949	2440
280	951	2433
281	953	2427
282	955	2420
283	957	2414
284	960	2409
285	962	2401
286	964	2394
287	966	2388
288	968	2381
289	969	2374
290	988	2408
291	995	2414
292	1000	2414
293	1005	2415
294	1010	2414
295	1013	2409
296	1017	2407
297	1021	2405
298	1025	2403
299	1030	2404
300	1032	2398
301	1034	2391
